105,GRAND LARCENY                         ,520
105,GRAND LARCENY OF MOTOR VEHICLE                                  ,263
105,TOTAL SEVEN MAJOR FELONY OFFENSES,1917
106,MURDER & NON NEGL. MANSLAUGHTER                                ,6
106,RAPE                                  ,19
106,ROBBERY                               ,328
106,FELONY ASSAULT                        ,253
106,BURGLARY                              ,346
106,GRAND LARCENY                         ,522
106,GRAND LARCENY OF MOTOR VEHICLE                                  ,191
106,TOTAL SEVEN MAJOR FELONY OFFENSES,1665
107,MURDER & NON NEGL. MANSLAUGHTER                                ,1
107,RAPE                                  ,7
107,ROBBERY                               ,242
107,FELONY ASSAULT                        ,138
107,BURGLARY                              ,244
107,GRAND LARCENY                         ,517
107,GRAND LARCENY OF MOTOR VEHICLE                                  ,149
107,TOTAL SEVEN MAJOR FELONY OFFENSES,1298
108,MURDER & NON NEGL. MANSLAUGHTER                                ,4
108,RAPE                                  ,15
108,ROBBERY                               ,160
108,FELONY ASSAULT                        ,171
108,BURGLARY                              ,244
108,GRAND LARCENY                         ,572
108,GRAND LARCENY OF MOTOR VEHICLE                                  ,166
108,TOTAL SEVEN MAJOR FELONY OFFENSES,1332
109,MURDER & NON NEGL. MANSLAUGHTER                                ,1
109,RAPE                                  ,31
109,ROBBERY                               ,243
109,FELONY ASSAULT                        ,286
109,BURGLARY                              ,471
109,GRAND LARCENY                         ,904
109,GRAND LARCENY OF MOTOR VEHICLE                                  ,210
109,TOTAL SEVEN MAJOR FELONY OFFENSES,2146
110,MURDER & NON NEGL. MANSLAUGHTER                                ,6
110,RAPE                                  ,32
110,ROBBERY                               ,341
110,FELONY ASSAULT                        ,292
110,BURGLARY                              ,279
110,GRAND LARCENY                         ,692
110,GRAND LARCENY OF MOTOR VEHICLE                                  ,105
110,TOTAL SEVEN MAJOR FELONY OFFENSES,1747
111,MURDER & NON NEGL. MANSLAUGHTER                                ,0
111,RAPE                                  ,3
111,ROBBERY                               ,73
111,FELONY ASSAULT                        ,65
111,BURGLARY                              ,232
111,GRAND LARCENY                         ,457
111,GRAND LARCENY OF MOTOR VEHICLE                                  ,79
111,TOTAL SEVEN MAJOR FELONY OFFENSES,909
112,MURDER & NON NEGL. MANSLAUGHTER                                ,0
112,RAPE                                  ,5
112,ROBBERY                               ,76
112,FELONY ASSAULT                        ,59
112,BURGLARY                              ,173
112,GRAND LARCENY                         ,470
112,GRAND LARCENY OF MOTOR VEHICLE                                  ,60
112,TOTAL SEVEN MAJOR FELONY OFFENSES,843
113,MURDER & NON NEGL. MANSLAUGHTER                                ,7
113,RAPE                                  ,18
113,ROBBERY                               ,376
113,FELONY ASSAULT                        ,459
113,BURGLARY                              ,396
113,GRAND LARCENY                         ,637
113,GRAND LARCENY OF MOTOR VEHICLE                                  ,162
113,TOTAL SEVEN MAJOR FELONY OFFENSES,2055
114,MURDER & NON NEGL. MANSLAUGHTER                                ,4
114,RAPE                                  ,29
114,ROBBERY                               ,247
114,FELONY ASSAULT                        ,308
114,BURGLARY                              ,383
114,GRAND LARCENY                         ,709
114,GRAND LARCENY OF MOTOR VEHICLE                                  ,205
114,TOTAL SEVEN MAJOR FELONY OFFENSES,1885
115,MURDER & NON NEGL. MANSLAUGHTER                                ,3
115,RAPE                                  ,35
115,ROBBERY                               ,358
115,FELONY ASSAULT                        ,341
115,BURGLARY                              ,306
115,GRAND LARCENY                         ,592
115,GRAND LARCENY OF MOTOR VEHICLE                                  ,125
